CountryName,RegionName,PrescriptionIndex,PredictedDailyNewCases,Stringency,PrescriptorName
Afghanistan,,0,245.9397141712547,0.52,FeatGreedy
Afghanistan,,1,235.8580499442071,1.6199999999999999,FeatGreedy
Afghanistan,,2,197.85646158070648,4.109999999999999,FeatGreedy
Afghanistan,,3,163.33808629687337,9.239999999999998,FeatGreedy
Afghanistan,,4,158.7681867144688,10.76,FeatGreedy
Afghanistan,,5,154.8922803625228,15.049999999999999,FeatGreedy
Afghanistan,,6,152.80684639131292,17.93,FeatGreedy
Afghanistan,,7,147.49529457335194,23.69,FeatGreedy
Afghanistan,,8,144.506818582892,26.01,FeatGreedy
Afghanistan,,9,143.2085363628343,27.35,FeatGreedy
Albania,,0,2549.728329298555,0.42000000000000004,FeatGreedy
Albania,,1,2487.9181836956327,0.6200000000000001,FeatGreedy
Albania,,2,2306.30646047933,1.02,FeatGreedy
Albania,,3,2217.3234269526138,1.2200000000000002,FeatGreedy
Albania,,4,1891.535335454016,5.540000000000001,FeatGreedy
Albania,,5,1849.4184997610628,9.860000000000001,FeatGreedy
Albania,,6,1819.7389632722065,12.74,FeatGreedy
Albania,,7,1775.434110036489,19.9,FeatGreedy
Albania,,8,1747.169903356922,26.859999999999996,FeatGreedy
Albania,,9,1733.011854999,27.84,FeatGreedy
Algeria,,0,1056.2218885000132,0.18,FeatGreedy
Algeria,,1,845.0572263047992,0.5700000000000001,FeatGreedy
Algeria,,2,826.5219036736441,1.6700000000000002,FeatGreedy
Algeria,,3,780.4923998478296,5.15,FeatGreedy
Algeria,,4,757.4318461194099,10.85,FeatGreedy
Algeria,,5,742.0590114043099,14.75,FeatGreedy
Algeria,,6,713.1111646575051,18.830000000000002,FeatGreedy
Algeria,,7,689.4070055643117,19.609999999999996,FeatGreedy
Algeria,,8,678.291773233472,24.85,FeatGreedy
Algeria,,9,672.5006269049309,26.049999999999994,FeatGreedy
Andorra,,0,37.26296593302088,0.88,FeatGreedy
Andorra,,1,33.15434782896763,1.8699999999999999,FeatGreedy
Andorra,,2,32.30702060342703,4.2700000000000005,FeatGreedy
Andorra,,3,28.712586568526813,8.95,FeatGreedy
Andorra,,4,28.339443335963285,10.87,FeatGreedy
Andorra,,5,27.788034096759766,11.31,FeatGreedy
Andorra,,6,27.552836676818675,14.209999999999999,FeatGreedy
Andorra,,7,27.20983092887447,19.609999999999996,FeatGreedy
Andorra,,8,26.744851207005578,25.810000000000002,FeatGreedy
Andorra,,9,26.51798470236367,26.609999999999996,FeatGreedy
Angola,,0,187.01065329601994,1.53,FeatGreedy
Angola,,1,177.30860508279082,3.2399999999999998,FeatGreedy
Angola,,2,164.94640834374977,5.44,FeatGreedy
Angola,,3,143.32848321523198,8.47,FeatGreedy
Angola,,4,140.92464366228128,9.99,FeatGreedy
Angola,,5,138.1368816413092,13.070000000000002,FeatGreedy
Angola,,6,134.97276980311398,19.310000000000002,FeatGreedy
Angola,,7,130.3091823112559,25.310000000000002,FeatGreedy
Angola,,8,128.15254857516098,25.990000000000002,FeatGreedy
Angola,,9,125.89398014807118,27.770000000000003,FeatGreedy
Argentina,,0,18022.59854622554,0.32,FeatGreedy
Argentina,,1,17379.204989748578,1.6800000000000002,FeatGreedy
Argentina,,2,16658.679446041922,4.11,FeatGreedy
Argentina,,3,16262.566403789186,5.07,FeatGreedy
Argentina,,4,13606.162473702407,10.35,FeatGreedy
Argentina,,5,12156.133799098317,15.3,FeatGreedy
Argentina,,6,11750.864191932313,17.98,FeatGreedy
Argentina,,7,11551.41955134748,23.94,FeatGreedy
Argentina,,8,11347.630659908255,25.96,FeatGreedy
Argentina,,9,11258.954820757152,27.16,FeatGreedy
Aruba,,0,45.516260389218594,1.26,FeatGreedy
Aruba,,1,38.20716383254932,3.900000000000001,FeatGreedy
Aruba,,2,36.44408225269911,6.9,FeatGreedy
Aruba,,3,35.726534302454006,9.040000000000001,FeatGreedy
Aruba,,4,34.825801746920696,9.200000000000001,FeatGreedy
Aruba,,5,34.24117009287652,15.170000000000002,FeatGreedy
Aruba,,6,33.279040497562065,18.37,FeatGreedy
Aruba,,7,32.97078297909059,21.03,FeatGreedy
Aruba,,8,32.226216637672465,21.720000000000002,FeatGreedy
Aruba,,9,31.85084766177834,27.880000000000003,FeatGreedy
Australia,,0,20.103454378071298,0.12,FeatGreedy
Australia,,1,16.107157317217197,2.34,FeatGreedy
Australia,,2,15.437287306449392,3.9299999999999997,FeatGreedy
Australia,,3,14.659849580412713,6.13,FeatGreedy
Australia,,4,14.394862980650016,7.95,FeatGreedy
Australia,,5,13.996583356930516,8.25,FeatGreedy
Australia,,6,12.556027552128025,15.269999999999998,FeatGreedy
Australia,,7,12.370455943010944,20.390000000000004,FeatGreedy
Australia,,8,12.241847820523471,20.87,FeatGreedy
Australia,,9,12.041141685643227,27.07,FeatGreedy
Austria,,0,2533.599642537431,0.33,FeatGreedy
Austria,,1,2169.465775426496,1.23,FeatGreedy
Austria,,2,2045.5471700592425,2.19,FeatGreedy
Austria,,3,1990.3933845486492,5.01,FeatGreedy
Austria,,4,1963.8127702602997,6.01,FeatGreedy
Austria,,5,1903.8043320434551,13.530000000000001,FeatGreedy
Austria,,6,1875.6560239080707,18.51,FeatGreedy
Austria,,7,1822.1800827877694,19.35,FeatGreedy
Austria,,8,1794.3246830684272,20.51,FeatGreedy
Austria,,9,1771.8402761251032,28.270000000000003,FeatGreedy
Azerbaijan,,0,434.55682370473323,0.32,FeatGreedy
Azerbaijan,,1,412.33291309135706,2.3899999999999997,FeatGreedy
Azerbaijan,,2,351.44073660244237,4.43,FeatGreedy
Azerbaijan,,3,294.86436736997666,8.84,FeatGreedy
Azerbaijan,,4,289.10938357201763,9.04,FeatGreedy
Azerbaijan,,5,283.99417431238874,12.899999999999997,FeatGreedy
Azerbaijan,,6,277.87042503099167,15.979999999999999,FeatGreedy
Azerbaijan,,7,271.376025137855,16.939999999999998,FeatGreedy
Azerbaijan,,8,268.79595036205825,20.359999999999996,FeatGreedy
Azerbaijan,,9,262.51965354621404,28.200000000000006,FeatGreedy
Bahamas,,0,34.55489500621893,0.51,FeatGreedy
Bahamas,,1,29.04459627346728,2.25,FeatGreedy
Bahamas,,2,27.649127377030858,2.47,FeatGreedy
Bahamas,,3,26.237265369254434,3.5500000000000003,FeatGreedy
Bahamas,,4,25.672491667516372,5.3100000000000005,FeatGreedy
Bahamas,,5,25.10884144177421,8.61,FeatGreedy
Bahamas,,6,24.409992640605275,15.65,FeatGreedy
Bahamas,,7,23.940206180310884,19.05,FeatGreedy
Bahamas,,8,23.716143705899178,22.75,FeatGreedy
Bahamas,,9,23.387834658418683,23.390000000000004,FeatGreedy
Bahrain,,0,1159.3976231673855,0.2,FeatGreedy
Bahrain,,1,1100.9749237740878,1.55,FeatGreedy
Bahrain,,2,1006.8272657620785,2.63,FeatGreedy
Bahrain,,3,847.6440340418889,6.590000000000001,FeatGreedy
Bahrain,,4,814.3622724332382,10.229999999999999,FeatGreedy
Bahrain,,5,802.2689907645365,11.889999999999999,FeatGreedy
Bahrain,,6,727.9399371014904,16.81,FeatGreedy
Bahrain,,7,715.7963157324506,23.25,FeatGreedy
Bahrain,,8,709.1532847408661,24.03,FeatGreedy
Bahrain,,9,697.9699269920876,26.950000000000006,FeatGreedy
Bangladesh,,0,1571.3239842412409,2.64,FeatGreedy
Bangladesh,,1,1507.0377329835178,3.84,FeatGreedy
Bangladesh,,2,1439.3659165858462,6.87,FeatGreedy
Bangladesh,,3,1234.0159050492052,9.69,FeatGreedy
Bangladesh,,4,1179.109095540644,13.01,FeatGreedy
Bangladesh,,5,1149.1106022247939,16.369999999999997,FeatGreedy
Bangladesh,,6,1106.322606827596,20.049999999999994,FeatGreedy
Bangladesh,,7,1094.5056134894212,23.45,FeatGreedy
Bangladesh,,8,1082.6890302403006,24.390000000000004,FeatGreedy
Bangladesh,,9,1054.1673199231643,26.88,FeatGreedy
Barbados,,0,100.75801778965702,1.0,FeatGreedy
Barbados,,1,93.80757132939672,1.1,FeatGreedy
Barbados,,2,76.17038953454025,3.1100000000000003,FeatGreedy
Barbados,,3,73.65987144655243,5.36,FeatGreedy
Barbados,,4,72.01351386425516,6.92,FeatGreedy
Barbados,,5,68.72489647382955,8.28,FeatGreedy
Barbados,,6,67.68221304833382,9.459999999999999,FeatGreedy
Barbados,,7,60.99417995830004,16.24,FeatGreedy
Barbados,,8,59.93428024528723,23.56,FeatGreedy
Barbados,,9,58.47490848051855,26.95,FeatGreedy
Belarus,,0,3865.4003777892963,0.8699999999999999,FeatGreedy
Belarus,,1,3685.383083207506,2.01,FeatGreedy
Belarus,,2,3463.163580027465,4.050000000000001,FeatGreedy
Belarus,,3,2916.027355023368,8.01,FeatGreedy
Belarus,,4,2871.0413773682294,9.25,FeatGreedy
Belarus,,5,2818.7895057467936,12.429999999999998,FeatGreedy
Belarus,,6,2720.0497481679154,16.75,FeatGreedy
Belarus,,7,2671.5007150881165,24.109999999999996,FeatGreedy
Belarus,,8,2621.9207506515772,26.830000000000002,FeatGreedy
